Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Walking duration (ms),Running duration (ms)
2023-09-27,103,,4569.130001306534,,,0.7667327670814897,3.179586887359619,0.04457163930702275,6663,,
2023-09-28,112,7.71186637878418,5173.030043721199,8.0,8,1.057536908034294,2.995579481124878,0.08994063815608536,8068,100082,
2023-09-29,99,14.037776947021484,4357.400004386902,1.0,1,0.7916622134504938,5.682440280914307,0.04642431703272066,6509,182178,
2023-09-30,27,26.10322666168213,1844.0617977476584,,,1.1262210943040667,2.337207078933716,0.036259528943604645,2714,338759,
2023-10-01,211,70.98561382293701,9810.788148870422,26.0,26,0.535409047754767,4.979645252227783,0.017712344724399077,15034,921226,
2023-10-02,206,60.307342529296875,9793.204600572586,,,0.6116081816493286,5.112275123596191,0.06231857905115681,13899,782648,
2023-10-03,117,13.051295280456543,5599.990030288696,,,0.673020255050756,2.475323438644409,0.03458202787727372,8359,169375,
2023-10-04,98,18.784318923950195,4127.019977092743,5.0,5,1.7869548416619292,3.503401517868042,0.15836597081619158,6369,243776,
2023-10-05,118,10.281221389770508,5356.480008125305,20.0,20,0.7217668237683249,1.8044512271881104,0.020053910742465885,8003,133426,
2023-10-06,84,,3612.649981021881,,,0.7552802536814033,2.3372814655303955,0.08083142292747222,5205,,
2023-10-07,52,46.27030944824219,2629.890010356903,9.0,9,0.7015731868919909,1.4244918823242188,0.12312329021480606,4119,600480,
2023-10-08,27,34.2082405090332,1762.1600232124329,7.0,7,0.8764876233209303,1.4212933616189476,0.12539263148752822,2811,443942,
2023-10-09,69,,3382.0499901771545,,,0.6460495048337797,1.2155439408304347,0.01642667786586682,5210,,
2023-10-10,149,,6515.971650123596,27.0,27,0.6118143819007619,1.9230677403162197,0.02470891915690553,10251,,
2023-10-11,47,7.909063339233398,2189.3999668359756,,,0.5574583873567882,1.487540055165483,0.018485993737368287,3182,102641,
2023-10-12,54,34.342206954956055,2664.8100085258484,3.0,3,0.9199774122623603,1.622917185544587,0.11710444208820696,3919,,225812
2023-10-13,78,,3554.979996204376,,,0.6081634148739333,1.2545849163207603,0.03406690825569114,5224,,
2023-10-14,39,16.211999893188477,1645.1036791801453,2.0,2,0.8912697518648734,1.488652649628755,0.2976883355066199,2412,210394,
2023-10-15,77,65.64079427719116,4384.250013828278,21.0,21,0.7431151061452238,1.4167681156944651,0.14953615195057854,6219,851862,
2023-10-16,334,180.29945755004883,17648.512465000153,41.0,41,0.8856544869805427,1.5766295928937857,0.05936299630611719,27295,2339863,
2023-10-17,115,113.09216833114624,6149.511822879314,13.0,13,1.0281194724543867,5.758687973022461,0.007043884688998179,9536,1467672,
2023-10-18,38,22.73796844482422,2265.579994916916,,,0.2417476569505437,1.7186529636383057,0.020976070114990274,3474,295085,
2023-10-19,47,71.37984800338745,2622.3699860572815,1.0,1,0.8619050921377739,2.945587158203125,0.1011957757177668,4155,926342,
2023-10-20,90,13.841773986816406,4597.380009651184,,,0.47724324241285915,1.1090952194476917,0.048913269688116746,6652,179634,
2023-10-21,53,,2210.759988307953,,,0.6497382947805487,1.1971907048709134,0.047247278198882185,3216,,
2023-10-22,58,,2324.5235847830772,,,1.055534787597976,3.1686151027679443,0.03694953565381946,3413,,
2023-10-23,81,22.72794485092163,3416.94003200531,5.0,5,1.2061217782755056,5.057566165924072,0.01188739943360198,5117,92372,102642
2023-10-24,52,,2104.0200362205505,,,1.2112135921769964,5.5410966873168945,0.0841189764592098,3071,,
2023-10-25,112,,4083.199966907501,,,0.7481971625051346,2.5923068523406982,0.14885818273565313,6135,,
2023-10-26,89,16.77958869934082,3751.2199926376343,1.0,1,1.8297618807614657,4.667418479919434,0.09497865095427338,5607,,110332
2023-10-27,157,,6165.380034446716,,,0.7536132423138485,2.5601747035980225,0.018501931036927783,9039,,
2023-10-28,123,,4676.4699811935425,,,1.0425704498023418,2.367194414138794,0.11130902816342392,6608,,
2023-10-29,80,,3191.7400188446045,,,0.7123335064020793,2.3071861267089844,0.07302641928633584,4715,,
2023-10-30,70,,3528.0899812579155,,,1.1923510025860955,2.841200351715088,0.049924891342689945,5181,,
2023-10-31,92,,4189.440041065216,2.0,2,1.0294415244330057,3.059325933456421,0.05720242756361203,6316,,
2023-11-01,32,,1120.5800065994263,,,1.1291405708939122,1.8722387552261353,0.09545374214149206,1624,,
