Date,Steps,Distance,Floors Ascended
25/10/2023,1472,1.0,1
24/10/2023,3071,2.1,6
23/10/2023,5117,3.4,6
22/10/2023,3413,2.3,4
21/10/2023,3315,2.3,8
20/10/2023,6652,4.6,2
19/10/2023,4185,2.6,10
18/10/2023,3548,2.3,2
17/10/2023,9545,6.1,5
16/10/2023,27295,17.6,12
15/10/2023,6230,4.4,6
14/10/2023,2431,1.6,7
13/10/2023,5194,3.5,7
12/10/2023,3952,2.7,8
11/10/2023,3191,2.2,5
10/10/2023,10267,6.5,11
07/10/2023,843,0.6,0
06/10/2023,5205,3.6,6
05/10/2023,8003,5.3,11
04/10/2023,6389,4.1,6
03/10/2023,8464,5.7,23
02/10/2023,13899,9.8,19
01/10/2023,15037,9.8,13
30/09/2023,2713,1.8,3
29/09/2023,6531,4.4,12
28/09/2023,8405,5.4,13
27/09/2023,7345,5.0,20
26/09/2023,7881,5.2,15
25/09/2023,7128,4.7,7
24/09/2023,5855,4.0,13
23/09/2023,2619,1.7,4
22/09/2023,9601,6.4,14
21/09/2023,5436,3.7,8
20/09/2023,10284,7.2,16
19/09/2023,13952,9.2,20
18/09/2023,8986,6.0,17
17/09/2023,2281,1.5,9
16/09/2023,6755,4.6,6
15/09/2023,9327,6.2,10
14/09/2023,7056,4.6,11
