"startTimeMillis","endTimeMillis","dataset__dataSourceId","dataset__point__startTimeNanos","dataset__point__originDataSourceId","dataset__point__endTimeNanos","dataset__point__value__intVal","dataset__point__dataTypeName"
"1695566359000","1695652759000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1695652759000","1695739159000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1695739159000","1695825559000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","1695809317128869376","derived:com.google.step_count.delta:com.google.ios.fit:appleinc.:iphone:794a297d:top_level","1695823682135910400","2056","com.google.step_count.delta"
"1695825559000","1695911959000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","1695826063034510336","derived:com.google.step_count.delta:com.google.ios.fit:appleinc.:iphone:794a297d:top_level","1695911822096060672","11450","com.google.step_count.delta"
"1695911959000","1695998359000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","1695912040173259776","derived:com.google.step_count.delta:com.google.ios.fit:appleinc.:iphone:794a297d:top_level","1695996039616607232","5587","com.google.step_count.delta"
"1695998359000","1696084759000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","1695998370523987712","derived:com.google.step_count.delta:com.google.ios.fit:appleinc.:iphone:794a297d:top_level","1696077351069037056","3116","com.google.step_count.delta"
"1696084759000","1696171159000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","1696088547611924736","derived:com.google.step_count.delta:com.google.ios.fit:appleinc.:iphone:794a297d:top_level","1696171133080614144","8436","com.google.step_count.delta"
"1696171159000","1696257559000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","1696171646309158656","derived:com.google.step_count.delta:com.google.ios.fit:appleinc.:iphone:794a297d:top_level","1696256838769661440","19838","com.google.step_count.delta"
"1696257559000","1696343959000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","1696258109697992448","derived:com.google.step_count.delta:com.google.ios.fit:appleinc.:iphone:794a297d:top_level","1696341878732281600","6826","com.google.step_count.delta"
"1696343959000","1696430359000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","1696346724985752064","derived:com.google.step_count.delta:com.google.ios.fit:appleinc.:iphone:794a297d:top_level","1696429396021492480","8527","com.google.step_count.delta"
"1696430359000","1696516759000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","1696430662675563264","derived:com.google.step_count.delta:com.google.ios.fit:appleinc.:iphone:794a297d:top_level","1696516225052796416","5916","com.google.step_count.delta"
"1696516759000","1696603159000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","1696516795875446528","derived:com.google.step_count.delta:com.google.ios.fit:appleinc.:iphone:794a297d:top_level","1696517806867954176","799","com.google.step_count.delta"
"1696603159000","1696689559000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1696689559000","1696775959000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1696775959000","1696862359000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1696862359000","1696948759000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1696948759000","1697035159000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1697035159000","1697121559000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1697121559000","1697207959000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1697207959000","1697294359000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1697294359000","1697380759000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1697380759000","1697467159000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1697467159000","1697553559000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1697553559000","1697639959000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1697639959000","1697726359000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1697726359000","1697812759000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1697812759000","1697899159000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1697899159000","1697985559000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1697985559000","1698071959000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
"1698071959000","1698158359000","derived:com.google.step_count.delta:com.google.android.gms:aggregated","","","","",""
